Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,13,3,.813,513,342,171,10.7,-1.4,9.3,9.4,-0.1
New York Jets,8,8,.500,377,363,14,0.9,0.0,0.9,1.2,-0.3
Miami Dolphins,6,10,.375,329,313,16,1.0,-0.1,0.9,-2.2,3.2
Buffalo Bills,6,10,.375,372,434,-62,-3.9,0.5,-3.4,1.2,-4.5
Baltimore Ravens*,12,4,.750,378,266,112,7.0,-0.9,6.1,2.6,3.5
Pittsburgh Steelers+,12,4,.750,325,227,98,6.1,-0.8,5.3,-0.8,6.0
Cincinnati Bengals+,9,7,.563,344,323,21,1.3,-0.9,0.5,0.7,-0.2
Cleveland Browns,4,12,.250,218,307,-89,-5.6,0.2,-5.4,-7.2,1.8
Houston Texans*,10,6,.625,381,278,103,6.4,-1.9,4.5,1.4,3.2
Tennessee Titans,9,7,.563,325,317,8,0.5,-1.5,-1.0,-2.2,1.2
Jacksonville Jaguars,5,11,.313,243,329,-86,-5.4,-0.3,-5.6,-7.1,1.4
Indianapolis Colts,2,14,.125,243,430,-187,-11.7,0.4,-11.3,-6.0,-5.3
Denver Broncos*,8,8,.500,309,390,-81,-5.1,-0.2,-5.3,-3.6,-1.7
San Diego Chargers,8,8,.500,406,377,29,1.8,-0.9,0.9,2.7,-1.8
Oakland Raiders,8,8,.500,359,433,-74,-4.6,-0.3,-4.9,0.2,-5.1
Kansas City Chiefs,7,9,.438,212,338,-126,-7.9,-0.2,-8.1,-10.2,2.1
