Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Washington Redskins*,9,7,.563,388,379,9,0.6,-2.5,-1.9,-0.2,-1.8
Philadelphia Eagles,7,9,.438,377,430,-53,-3.3,-1.3,-4.6,-0.6,-4.0
New York Giants,6,10,.375,420,442,-22,-1.4,-2.2,-3.6,2.5,-6.1
Dallas Cowboys,4,12,.250,275,374,-99,-6.2,-0.7,-6.9,-7.0,0.1
Minnesota Vikings*,11,5,.688,365,302,63,3.9,1.9,5.8,1.1,4.7
Green Bay Packers+,10,6,.625,368,323,45,2.8,2.5,5.3,2.0,3.3
Detroit Lions,7,9,.438,358,400,-42,-2.6,2.4,-0.2,1.0,-1.3
Chicago Bears,6,10,.375,335,397,-62,-3.9,2.6,-1.3,-0.1,-1.2
Carolina Panthers*,15,1,.938,500,308,192,12.0,-3.9,8.1,6.0,2.1
Atlanta Falcons,8,8,.500,339,345,-6,-0.4,-3.4,-3.8,-4.0,0.3
New Orleans Saints,7,9,.438,408,476,-68,-4.3,-2.3,-6.6,1.1,-7.6
Tampa Bay Buccaneers,6,10,.375,342,417,-75,-4.7,-3.0,-7.7,-3.5,-4.2
Arizona Cardinals*,13,3,.813,489,313,176,11.0,1.3,12.3,9.0,3.4
Seattle Seahawks+,10,6,.625,423,277,146,9.1,2.2,11.3,5.4,6.0
St. Louis Rams,7,9,.438,280,330,-50,-3.1,3.0,-0.2,-3.8,3.6
San Francisco 49ers,5,11,.313,238,387,-149,-9.3,3.8,-5.5,-6.0,0.5
