Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Washington Football Team,6,9,0,.400,315,315,0,0.0,-1.0,-1.0,-4.0,3.1
Dallas Cowboys,6,9,0,.400,376,450,-74,-4.9,0.1,-4.9,1.2,-6.1
New York Giants,5,10,0,.333,257,338,-81,-5.4,0.8,-4.6,-6.7,2.1
Philadelphia Eagles,4,10,1,.300,320,398,-78,-5.2,0.9,-4.3,-2.7,-1.6
Green Bay Packers,12,3,0,.800,474,353,121,8.1,-1.2,6.9,5.6,1.3
Chicago Bears,8,7,0,.533,356,335,21,1.4,-0.5,0.9,-1.7,2.7
Minnesota Vikings,6,9,0,.400,393,440,-47,-3.1,0.9,-2.2,1.2,-3.4
Detroit Lions,5,10,0,.333,342,482,-140,-9.3,1.4,-7.9,-1.4,-6.5
New Orleans Saints,11,4,0,.733,449,330,119,7.9,0.7,8.6,5.1,3.5
Tampa Bay Buccaneers,10,5,0,.667,448,328,120,8.0,0.8,8.8,5.6,3.2
Carolina Panthers,5,10,0,.333,343,369,-26,-1.7,1.7,-0.1,-1.5,1.4
Atlanta Falcons,4,11,0,.267,369,370,-1,-0.1,1.3,1.3,-0.4,1.7
Seattle Seahawks,11,4,0,.733,433,348,85,5.7,-0.1,5.6,5.1,0.5
Los Angeles Rams,9,6,0,.600,354,289,65,4.3,0.6,4.9,-0.3,5.3
Arizona Cardinals,8,7,0,.533,403,349,54,3.6,-0.5,3.1,2.5,0.6
San Francisco 49ers,6,9,0,.400,353,364,-11,-0.7,1.4,0.6,0.2,0.5
