Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Washington Football Team,4,7,0,.364,241,243,-2,-0.2,-3.2,-3.4,-4.4,1.0
New York Giants,4,7,0,.364,214,253,-39,-3.5,-0.8,-4.4,-4.7,0.3
Philadelphia Eagles,3,7,1,.318,237,277,-40,-3.6,-0.6,-4.2,-3.0,-1.2
Dallas Cowboys,3,8,0,.273,251,359,-108,-9.8,0.0,-9.8,-1.5,-8.4
Green Bay Packers,8,3,0,.727,349,283,66,6.0,0.4,6.4,7.0,-0.7
Minnesota Vikings,5,6,0,.455,292,305,-13,-1.2,0.4,-0.7,0.4,-1.2
Chicago Bears,5,6,0,.455,216,250,-34,-3.1,2.3,-0.8,-4.5,3.7
Detroit Lions,4,7,0,.364,252,328,-76,-6.9,0.7,-6.2,-1.3,-4.9
New Orleans Saints,9,2,0,.818,326,225,101,9.2,0.9,10.1,4.8,5.3
Tampa Bay Buccaneers,7,5,0,.583,344,280,64,5.3,2.4,7.7,5.4,2.3
Atlanta Falcons,4,7,0,.364,295,281,14,1.3,-0.2,1.1,1.2,-0.1
Carolina Panthers,4,8,0,.333,280,300,-20,-1.7,2.4,0.8,-1.0,1.8
Seattle Seahawks,8,3,0,.727,341,304,37,3.4,0.0,3.4,6.4,-3.0
Los Angeles Rams,7,4,0,.636,263,215,48,4.4,-0.3,4.1,-0.8,4.9
Arizona Cardinals,6,5,0,.545,304,258,46,4.2,-1.9,2.3,1.6,0.7
San Francisco 49ers,5,6,0,.455,261,254,7,0.6,1.0,1.6,0.2,1.4
