Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills,7,2,0,.778,242,233,9,1.0,-0.7,0.3,1.3,-1.1
Miami Dolphins,5,3,0,.625,222,161,61,7.6,-1.8,5.9,1.6,4.2
New England Patriots,3,5,0,.375,166,194,-28,-3.5,0.4,-3.1,-5.1,2.0
New York Jets,0,9,0,.000,121,268,-147,-16.3,1.9,-14.4,-10.5,-3.9
Pittsburgh Steelers,8,0,0,1.000,235,161,74,9.3,-2.3,7.0,2.4,4.5
Baltimore Ravens,6,2,0,.750,227,142,85,10.6,0.1,10.7,3.2,7.5
Cleveland Browns,5,3,0,.625,206,237,-31,-3.9,0.0,-3.9,1.2,-5.0
Cincinnati Bengals,2,5,1,.313,194,214,-20,-2.5,-0.5,-3.0,-2.1,-0.9
Tennessee Titans,6,2,0,.750,232,201,31,3.9,-1.7,2.2,3.2,-1.0
Indianapolis Colts,5,3,0,.625,208,160,48,6.0,-3.0,3.0,-0.3,3.3
Houston Texans,2,6,0,.250,193,242,-49,-6.1,2.3,-3.9,-0.7,-3.1
Jacksonville Jaguars,1,7,0,.125,179,247,-68,-8.5,-0.5,-9.0,-3.6,-5.4
Kansas City Chiefs,8,1,0,.889,286,183,103,11.4,-1.4,10.0,6.4,3.6
Las Vegas Raiders,5,3,0,.625,218,229,-11,-1.4,2.4,1.0,2.7,-1.7
Denver Broncos,3,5,0,.375,174,217,-43,-5.4,0.8,-4.5,-2.9,-1.7
Los Angeles Chargers,2,6,0,.250,205,216,-11,-1.4,1.3,-0.1,0.4,-0.6
